id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung,Synop,Verknüpfungsnummer,Startdatum Teilzeitreihe,Enddatum Teilzeitreihe,zusammengesetzt
217,,Kapfenberg Flugfeld,15.33556,47.45833,515.0,1997-03-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
218,,Andau,17.03556,47.77,117.0,1995-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,,,,ja
220,,Gaschurn,10.031667,46.980278,985.0,2007-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,,,,ja
221,,Stockerau,16.190861,48.409833,210.0,1997-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
222,,Wolkersdorf,16.508889,48.388056,174.0,2008-07-23 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
500,11021,Litschau,15.03831,48.95464,557.6,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,57,1983-11-01 00:00:00+00:00,,nein
726,11047,Raabs an der Thaya,15.50194,48.84806,458.5,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
905,11022,Retz,15.94167,48.76111,320.0,1993-11-11 15:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,81,1994-01-01 00:00:00+00:00,,nein
1401,11007,Kollerschlag,13.83917,48.60278,714.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,157,2008-06-17 00:00:00+00:00,,nein
1415,11008,Rohrbach,13.99406,48.56961,596.9,1994-06-29 12:10:00+00:00,2021-07-02 07:30:00+00:00,Oberösterreich,True,True,,77,1994-08-01 00:00:00+00:00,2021-10-14 23:59:59+00:00,nein
1416,11008,Rohrbach,14.00444,48.56722,613.0,2021-10-13 15:40:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,77,2021-10-15 00:00:00+00:00,,nein
1601,11015,Freistadt,14.506111,48.506111,549.0,1992-08-29 00:10:00+00:00,2014-08-04 00:00:00+00:00,Oberösterreich,True,True,,26,1992-01-01 00:00:00+00:00,2014-06-30 23:59:59+00:00,nein
1602,11068,Freistadt,14.50639,48.49472,539.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,26,2014-07-01 00:00:00+00:00,,nein
1730,8989083,Schwarzau im Freiwald,14.739445,48.668056,788.0,2022-10-07 18:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
1802,11025,Weitra,14.89861,48.70222,571.9,2003-08-21 12:10:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,148,2005-01-01 00:00:00+00:00,,nein
1906,11019,Allentsteig,15.36694,48.69083,598.8,1992-11-05 11:20:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,3,1992-10-01 00:00:00+00:00,,nein
1920,11020,Stift Zwettl,15.20361,48.61778,502.4,1994-09-30 12:20:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,89,1994-08-01 00:00:00+00:00,,nein
2114,11388,Horn,15.65361,48.67056,318.4,2006-01-01 00:00:00+00:00,2020-10-06 05:40:00+00:00,Niederösterreich,True,True,,199,2007-07-01 00:00:00+00:00,2019-12-31 23:59:59+00:00,nein
2115,11023,Gars am Kamp,15.66778,48.59556,267.0,2002-03-25 17:20:00+00:00,2016-05-20 00:00:00+00:00,Niederösterreich,True,True,,215,1999-03-10 00:00:00+00:00,2016-05-18 23:59:59+00:00,nein
2116,11064,Gars am Kamp,15.7,48.59194,273.0,2016-05-20 08:20:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,215,2016-05-20 00:00:00+00:00,,nein
2117,11297,Horn Wasserwerk,15.643888,48.674999,308.0,2019-04-15 09:20:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,199,2020-01-01 00:00:00+00:00,,nein
2207,11334,Schöngrabern,16.06167,48.60333,253.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,37,2008-01-01 00:00:00+00:00,,nein
2401,11335,Laa an der Thaya Kläranlage,16.38972,48.73139,184.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,152,2008-01-01 00:00:00+00:00,,nein
2415,11083,Leiser Berge,16.37167,48.55889,456.5,1999-09-27 12:20:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,67,1998-04-01 00:00:00+00:00,,nein
2430,11332,Mistelbach,16.60944,48.57083,191.0,2004-06-14 14:20:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
2503,11032,Poysdorf Ost,16.6375,48.66917,198.0,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,70,1992-01-01 00:00:00+00:00,,nein
2601,11333,Hohenau,16.90444,48.61639,153.8,2006-01-01 00:00:00+00:00,2022-02-28 08:20:00+00:00,Niederösterreich,True,True,,158,2007-07-01 00:00:00+00:00,2022-02-28 08:20:59+00:00,nein
2602,11333,Hohenau,16.913055,48.605835,150.0,2022-03-02 09:50:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,158,2022-03-02 00:00:00+00:00,,nein
2902,11004,Reichersberg,13.37611,48.33111,351.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,159,2008-07-01 00:00:00+00:00,,nein
2910,11055,Schärding,13.43453,48.46428,306.7,1994-02-17 09:20:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
3111,11058,Waizenkirchen,13.86458,48.32656,400.2,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,160,2008-07-01 00:00:00+00:00,,nein
3202,11060,Linz Stadt,14.28528,48.29639,262.0,1992-11-18 07:30:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,56,1992-07-01 00:00:00+00:00,,nein
3315,11050,Reichenau im Mühlkreis,14.34556,48.45917,689.1,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,161,2008-08-01 00:00:00+00:00,,nein
3425,11057,Bad Zell,14.66361,48.355,554.4,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
3520,11367,Bärnkopf,15.00278,48.39111,969.0,2003-10-30 09:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
3702,11024,Jauerling Gipfel,15.33911,48.33447,955.0,1993-11-23 14:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,193,1995-07-01 00:00:00+00:00,,nein
3805,11070,Krems,15.62222,48.41861,202.0,1996-05-07 13:10:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,46,1996-04-01 00:00:00+00:00,,nein
3811,11075,Langenlois,15.69722,48.4725,207.0,1992-12-14 10:20:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,52,1989-11-01 00:00:00+00:00,,nein
4026,11027,Stockerau Flugplatz,16.190861,48.409833,210.0,2023-05-11 08:20:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,221,2023-05-11 00:00:00+00:00,,nein
4030,8989109,Stockerau,16.19261,48.39689,203.3,2002-04-11 06:10:00+00:00,2024-06-12 02:50:00+00:00,Niederösterreich,True,True,,221,1997-06-01 00:00:00+00:00,2023-05-10 23:59:59+00:00,nein
4081,11030,Langenlebarn,16.11806,48.32389,175.3,1992-10-21 11:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,51,1992-10-01 00:00:00+00:00,,nein
4115,11042,Wien Stammersdorf,16.40556,48.30581,190.7,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,,,,nein
4125,8989105,Wolkersdorf,16.5075,48.38028,184.9,2006-01-01 00:00:00+00:00,2024-10-09 05:00:00+00:00,Niederösterreich,True,True,,222,2008-07-23 00:00:00+00:00,2023-06-19 08:59:59+00:00,nein
4126,11045,Wolkersdorf,16.508889,48.388056,174.0,2023-06-19 09:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,222,2023-06-19 09:00:00+00:00,,nein
4224,11048,Gänserndorf Stadt,16.71361,48.33778,163.0,2002-11-13 09:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,134,2004-01-01 00:00:00+00:00,,nein
4305,11085,Zwerndorf,16.83139,48.33806,143.5,1997-03-20 11:20:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
4501,11051,Ranshofen Braunau,13.02833,48.22417,382.0,1994-06-28 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,75,1994-07-01 00:00:00+00:00,,nein
4515,11061,Ostermiething,12.83167,48.05306,412.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
4601,11062,Aspach,13.3,48.18306,427.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,162,2009-07-08 00:00:00+00:00,,nein
4611,11049,Mattighofen,13.15111,48.09722,459.8,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
4705,11053,Ried im Innkreis,13.475,48.21722,427.0,1997-06-16 12:20:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,141,1998-01-01 00:00:00+00:00,,nein
4802,11067,Gallspach,13.825,48.20422,425.9,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,False,,27,2012-04-16 00:00:00+00:00,,nein
4815,11001,Wolfsegg,13.67092,48.10542,635.1,1995-05-30 10:50:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,111,1995-06-01 00:00:00+00:00,,nein
4821,11056,Vöcklabruck,13.645833,48.0075,434.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
4905,11059,Wels-Schleißheim,14.07139,48.16278,309.0,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
5000,11010,Linz Hörsching Flughafen,14.18806,48.23528,298.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,False,,,,,nein
5012,11012,Kremsmünster,14.13111,48.055,382.0,1993-03-16 14:40:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,204,2009-01-01 00:00:00+00:00,,nein
5116,11374,Wachtberg bei Steyr,14.46111,48.0475,384.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,192,2008-08-01 00:00:00+00:00,,nein
5130,11002,Enns,14.45028,48.19583,317.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,23,2008-07-01 00:00:00+00:00,,nein
5315,11018,Amstetten Kläranlage,14.89861,48.10806,265.0,1993-05-25 12:20:00+00:00,2000-06-30 23:00:00+00:00,Niederösterreich,True,True,,4,1993-02-01 00:00:00+00:00,2000-06-30 23:59:59+00:00,nein
5316,11018,Amstetten,14.895,48.10889,266.0,2000-06-30 23:10:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,4,2000-07-01 00:00:00+00:00,,nein
5412,11376,Oberndorf an der Melk,15.21381,48.06239,295.1,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,155,2008-01-01 00:00:00+00:00,,nein
5413,11054,Melk,15.33139,48.20972,307.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,189,2008-09-25 00:00:00+00:00,,nein
5421,11379,Wieselburg,15.14672,48.12731,258.7,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
5604,,St. Pölten Kopalkaserne,15.611111,48.180279,285.0,1994-04-13 09:40:00+00:00,2005-06-13 13:20:00+00:00,Niederösterreich,True,True,,93,1994-01-01 00:00:00+00:00,2003-06-30 23:59:59+00:00,nein
5609,11389,St. Pölten Landhaus,15.63111,48.19972,273.6,2003-07-04 08:40:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,93,2003-07-01 00:00:00+00:00,,nein
5625,11078,Lilienfeld-Tarschberg,15.5875,48.02806,696.0,1993-04-15 10:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
5701,11391,Klausen Leopoldsdorf,16.00161,48.08864,389.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
5725,11031,Kohlreithberg,15.935278,48.175835,490.0,2002-06-01 00:10:00+00:00,2010-06-08 00:00:00+00:00,Niederösterreich,True,True,,125,2001-07-01 00:00:00+00:00,2010-06-17 23:59:59+00:00,nein
5735,11066,Buchberg,15.94495,48.21362,460.3,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
5802,11044,Wien Jubliäumswarte,16.26528,48.22111,450.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,,,,nein
5805,11080,Wien Mariabrunn,16.22944,48.20694,225.0,1997-02-17 12:20:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,106,1997-01-16 00:00:00+00:00,,nein
5820,11077,Brunn am Gebirge,16.27,48.10694,290.6,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
5870,11081,Baden,16.235556,48.011391,244.8,1992-08-29 00:10:00+00:00,2012-05-31 00:00:00+00:00,Niederösterreich,True,False,,12,1982-12-01 00:00:00+00:00,2012-05-31 23:59:59+00:00,nein
5881,11082,Gumpoldskirchen,16.28222,48.04028,219.0,1994-04-14 10:00:00+00:00,2018-03-29 23:50:00+00:00,Niederösterreich,True,True,,32,1990-11-01 00:00:00+00:00,2018-03-28 23:59:59+00:00,nein
5882,11082,Gumpoldskirchen,16.28083,48.03583,212.0,2018-03-30 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,32,2018-03-29 00:00:00+00:00,,nein
5904,11033,Wien Hohe Warte,16.35639,48.24861,198.0,1992-05-20 06:10:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,105,1993-01-01 00:00:00+00:00,,nein
5917,11040,Wien Unterlaa,16.41944,48.125,200.0,1997-09-09 13:20:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,107,1996-01-01 00:00:00+00:00,,nein
5925,11034,Wien Innere Stadt,16.36694,48.19833,177.0,1994-05-13 08:40:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,,,,nein
5935,11090,Wien Donaufeld,16.43139,48.25722,160.0,2001-06-15 09:30:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,,,,nein
5972,11037,Groß-Enzersdorf,16.55917,48.19975,154.3,1994-01-12 17:10:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,31,1991-01-01 00:00:00+00:00,,nein
5990,11036,Schwechat Flughafen,16.58139,48.1175,183.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,False,,,,,nein
6102,11394,Bruckneudorf,16.845,48.01278,165.6,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,18,2008-01-01 00:00:00+00:00,,nein
6111,11046,Bad Deutsch-Altenburg,16.90675,48.13647,168.6,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
6300,11150,Salzburg Flughafen,13.00861,47.78944,430.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,131,1939-03-01 00:00:00+00:00,,nein
6305,11350,Salzburg Freisaal,13.05417,47.79111,419.0,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,145,2006-01-01 00:00:00+00:00,,nein
6411,11152,Mattsee,13.1,47.97,504.0,1993-06-04 07:10:00+00:00,1998-10-31 23:50:00+00:00,Salzburg,True,False,,60,1985-12-01 00:00:00+00:00,1998-10-31 23:59:59+00:00,nein
6412,11152,Mattsee,13.10694,47.97778,508.0,1998-11-01 00:00:00+00:00,1999-01-25 12:00:00+00:00,Salzburg,True,False,,60,1998-11-01 00:00:00+00:00,1999-01-31 23:59:59+00:00,nein
6415,11152,Mattsee,13.10556,47.97722,502.0,1999-07-27 09:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,60,1999-11-01 00:00:00+00:00,,nein
6430,11373,Kolomansberg,13.27519,47.87772,1113.1,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,nein
6501,11352,Frankenmarkt,13.42306,47.99139,565.0,2016-12-14 00:10:00+00:00,2017-03-27 23:50:00+00:00,Oberösterreich,False,True,,190,2004-03-01 00:00:00+00:00,2017-03-25 23:59:59+00:00,nein
6512,11153,Mondsee,13.34722,47.85083,480.5,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,163,2009-01-01 00:00:00+00:00,,nein
6540,11087,Unterach am Attersee,13.483611,47.802776,470.0,2019-05-27 15:20:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,False,,,,,nein
6611,11155,Feuerkogel,13.71778,47.81667,1618.0,1992-12-22 09:20:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,205,2009-01-01 00:00:00+00:00,,nein
6620,11154,Gmunden,13.8075,47.91472,424.4,1992-08-29 00:10:00+00:00,2016-04-27 00:00:00+00:00,Oberösterreich,True,True,,29,1982-08-13 00:00:00+00:00,2016-04-26 23:59:59+00:00,nein
6621,11254,Altmünster,13.77333,47.87917,438.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
6803,11347,Micheldorf,14.13444,47.88306,459.0,2006-01-01 00:00:00+00:00,2022-09-12 16:50:00+00:00,Oberösterreich,True,True,,144,2008-08-01 00:00:00+00:00,2022-09-12 16:59:59+00:00,nein
6804,11347,Micheldorf,14.117222,47.88388,443.0,2022-09-12 17:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,144,2022-09-13 00:00:00+00:00,,nein
7002,11341,Weyer,14.66572,47.85719,426.1,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,104,2007-09-01 00:00:00+00:00,,nein
7012,11368,Waidhofen an der Ybbs/Zentrum,14.78444,47.95778,365.1,2001-01-24 12:20:00+00:00,2019-06-04 09:00:00+00:00,Niederösterreich,True,True,,101,2004-12-01 00:00:00+00:00,2017-12-31 23:59:59+00:00,nein
7013,11071,Waidhofen an der Ybbs,14.80972,47.94556,384.0,2017-03-30 08:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,101,2018-01-01 00:00:00+00:00,,nein
7110,11170,Lunz am See,15.06758,47.85436,611.9,1994-09-08 09:40:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
7221,11171,Mariazell/St. Sebastian,15.30222,47.78917,864.0,2000-07-25 09:20:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,59,2001-01-01 00:00:00+00:00,,nein
7301,8989084,Kernhof-St. Aegyd am Neuwalde,15.547972,47.819333,679.0,2022-05-07 09:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
7305,11386,Krumbach,16.18667,47.52806,545.2,2014-09-01 00:10:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,False,,,,,nein
7500,11382,Puchberg am Schneeberg,15.90944,47.79028,580.0,1992-08-29 00:10:00+00:00,1998-03-18 09:00:00+00:00,Niederösterreich,True,True,,72,1983-01-01 00:00:00+00:00,1998-03-31 23:59:59+00:00,nein
7505,11382,Puchberg am Schneeberg,15.90694,47.79028,582.8,1998-03-23 20:40:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,72,1998-04-01 00:00:00+00:00,,nein
7531,11385,Hohe Wand Hochkogelhaus,16.035,47.82222,936.9,1993-05-14 10:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,36,1993-08-01 00:00:00+00:00,,nein
